,Wind,Clouds,Humidity,Country,Data,Temperture,Latitude,Longitude,City
312,5.66,90,97,RU,1603130591,14.74,65.75,150.85,boa vista
313,11.88,78,70,BR,1603130837,79.5,-9.01,-35.22,boa vista
314,14.23,0,17,BW,1603130837,88.12,-22.27,28.75,boa vista
315,6.93,75,86,US,1603130388,39.0,59.64,-151.55,boa vista
316,2.84,100,92,CD,1603130837,73.49,4.28,21.02,boa vista
317,13.82,100,73,RU,1603130837,37.17,53.07,82.34,boa vista
318,3.36,92,68,MA,1603130632,69.8,34.26,-6.58,boa vista
319,1.12,0,62,ME,1603130838,55.4,42.44,19.26,boa vista
320,4.32,2,90,AU,1603130838,42.24,-38.27,141.97,boa vista
321,8.59,88,95,RU,1603130838,24.69,60.73,114.93,boa vista
322,1.61,58,61,MX,1603130838,84.78,15.77,-92.27,boa vista
323,3.42,46,67,NG,1603130838,80.65,9.08,3.85,boa vista
324,2.68,0,37,UZ,1603130839,55.56,39.96,68.4,boa vista
325,5.82,90,100,US,1603130779,55.0,40.8,-124.16,boa vista
326,8.01,33,79,NZ,1603130839,46.99,-45.75,170.57,boa vista
327,0.81,0,88,CN,1603130839,48.6,40.29,123.27,boa vista
328,12.75,75,70,CU,1603130840,84.2,22.52,-79.47,boa vista
329,5.39,96,83,CA,1603130561,35.29,49.78,-74.85,boa vista
330,5.03,22,74,JP,1603130840,51.93,39.64,141.95,boa vista
331,3.04,40,82,US,1603130390,59.0,36.62,-121.92,boa vista
332,0.76,49,81,ID,1603130840,79.29,1.05,101.28,boa vista
333,3.53,54,77,PG,1603130840,80.17,-4.2,152.17,boa vista
334,20.71,75,57,US,1603130841,50.0,42.87,-106.31,boa vista
335,6.93,95,54,AU,1603130841,53.6,-31.95,141.43,boa vista
336,9.17,75,81,NO,1603130841,39.2,71.0,24.66,boa vista
337,14.83,100,98,RU,1603130841,29.98,56.19,86.64,boa vista
338,11.41,75,70,MX,1603130841,86.0,18.42,-95.12,boa vista
339,16.11,40,88,JP,1603130632,75.2,28.37,129.48,boa vista
340,8.05,75,68,VN,1603130841,71.6,20.45,106.33,boa vista
341,5.55,1,46,US,1603130580,75.0,37.93,-121.3,boa vista
342,17.43,0,48,CL,1603130732,61.92,-35.33,-72.42,boa vista
343,8.57,100,84,RU,1603130842,57.0,45.44,40.58,boa vista
344,6.58,100,94,RU,1603130842,18.28,61.38,152.75,boa vista
345,8.05,75,83,BR,1603130612,71.6,-15.78,-47.93,boa vista
346,5.82,20,68,ES,1603130842,64.4,43.49,-6.15,boa vista
347,3.53,64,96,IN,1603130842,70.68,19.6,81.67,boa vista
348,8.05,20,66,BB,1603130619,87.8,13.07,-59.53,boa vista
349,3.4,47,82,DE,1603130843,48.99,50.2,10.08,boa vista
350,2.95,2,30,CM,1603130826,84.79,9.93,13.95,boa vista
351,6.93,40,93,AU,1603130601,61.0,-28.65,153.62,boa vista
352,9.17,1,69,RE,1603130724,73.4,-21.34,55.48,boa vista
353,17.02,100,76,PH,1603130843,83.25,6.37,126.17,boa vista
354,12.75,11,62,GF,1603130690,87.8,4.93,-52.33,boa vista
355,14.99,75,88,EC,1603130843,73.4,-0.9,-89.6,boa vista
356,4.47,90,92,RU,1603130844,14.0,66.0,111.5,boa vista
357,2.86,30,45,VE,1603130844,91.87,10.34,-68.74,boa vista
358,8.05,75,80,IS,1603130572,41.0,63.44,-20.27,boa vista
359,1.99,100,95,LA,1603130844,57.16,20.42,104.04,boa vista
360,8.19,100,95,RU,1603130844,36.61,60.14,32.57,boa vista
361,6.93,18,72,IT,1603130844,69.01,37.83,12.67,boa vista
362,5.82,37,46,SN,1603130844,89.91,13.24,-14.31,boa vista
363,4.7,75,82,AZ,1603130845,62.6,40.47,50.33,boa vista
364,3.49,89,85,RU,1603130639,40.55,57.34,58.22,boa vista
365,4.47,7,79,SB,1603130716,80.56,-8.14,159.59,boa vista
366,1.03,100,96,RU,1603130845,31.37,52.7,115.17,boa vista
367,7.9,77,38,BR,1603130845,95.72,3.08,-59.95,boa vista
368,15.52,84,58,BR,1603130631,83.26,-13.28,-50.16,boa vista
369,2.24,20,94,SB,1603130643,75.2,-9.43,159.95,boa vista
370,9.17,0,16,SA,1603130846,68.0,18.39,42.45,boa vista
371,3.96,0,22,NG,1603130846,89.69,13.06,5.24,boa vista
372,4.43,44,49,GM,1603130703,90.54,13.35,-15.75,boa vista
373,4.07,99,97,RU,1603130846,24.93,58.84,125.49,boa vista
374,14.99,99,71,FR,1603130846,55.99,49.64,-1.57,boa vista
375,6.55,93,94,UG,1603130846,66.45,1.74,33.16,boa vista
376,3.91,49,70,CD,1603130847,75.69,-7.3,27.42,boa vista
377,2.08,75,88,IN,1603130847,80.6,13.17,80.27,boa vista
378,2.24,75,87,GB,1603130847,51.8,56.07,-3.72,boa vista
379,8.52,69,29,LY,1603130707,80.87,29.03,21.55,boa vista
380,3.24,100,77,RU,1603130847,36.54,51.1,114.53,boa vista
381,11.21,99,73,CA,1603130848,51.12,51.23,-58.65,boa vista
382,11.79,84,77,MV,1603130848,82.67,3.78,72.97,boa vista
383,17.22,93,67,FR,1603130848,60.8,48.38,-4.62,boa vista
384,6.31,1,56,US,1603130849,73.99,37.27,-76.71,boa vista
385,2.55,100,90,VN,1603130849,66.74,21.7,104.87,boa vista
386,3.65,0,95,RU,1603130583,15.01,66.56,67.8,boa vista
387,3.09,3,83,SB,1603130849,77.68,-8.77,160.7,boa vista
388,6.89,100,95,RU,1603130622,12.31,66.77,123.37,boa vista
389,4.0,2,67,BR,1603130697,82.99,-32.03,-52.1,boa vista
390,1.12,2,82,IN,1603130849,79.7,20.78,86.77,boa vista
391,2.39,73,90,SS,1603130849,71.82,5.6,27.47,boa vista
392,3.85,0,22,TD,1603130850,86.49,12.18,18.69,boa vista
393,17.22,0,20,AR,1603130746,95.0,-24.79,-65.41,boa vista
394,11.41,75,78,JM,1603130623,87.01,18.45,-78.17,boa vista
395,11.18,40,69,RU,1603130850,41.0,55.75,38.0,boa vista
396,8.05,90,78,BR,1603130850,77.0,-20.67,-40.5,boa vista
397,2.71,82,96,RU,1603130686,15.89,67.45,153.68,boa vista
398,10.0,92,87,ES,1603130851,64.0,42.78,-9.06,boa vista
399,4.29,94,46,CN,1603130851,45.68,38.93,100.45,boa vista
400,8.05,90,88,AU,1603130732,69.01,-24.85,152.35,boa vista
401,16.11,40,68,PT,1603130676,64.4,38.52,-28.7,boa vista
402,1.68,8,17,BW,1603130851,87.94,-21.18,24.88,boa vista
403,5.82,90,67,US,1603130585,64.0,41.14,-73.36,boa vista
404,8.05,75,66,MQ,1603130852,86.0,14.83,-61.06,boa vista
405,1.7,75,88,IN,1603130852,80.6,13.22,80.32,boa vista
406,2.24,90,84,RU,1603130852,-0.4,62.72,129.67,boa vista
407,2.24,75,100,TH,1603130852,73.4,15.24,105.23,boa vista
408,10.29,75,68,US,1603130674,70.0,38.89,-76.51,boa vista
409,1.41,53,67,ZA,1603130852,63.55,-30.55,29.42,boa vista
410,1.95,0,27,MX,1603130852,78.85,22.6,-103.87,boa vista
411,8.9,84,79,RU,1603130853,26.6,53.6,91.39,boa vista
412,4.47,10,52,CN,1603130764,46.4,43.8,87.6,boa vista
413,11.18,40,69,RU,1603130853,41.0,55.62,38.12,boa vista
414,7.78,98,99,RU,1603130853,27.68,63.79,74.52,boa vista
415,11.18,96,58,RU,1603130853,30.2,56.17,91.82,boa vista
416,7.34,100,99,RU,1603130638,30.58,64.7,43.39,boa vista
417,0.58,85,97,RU,1603130854,12.78,62.67,135.6,boa vista
418,7.31,90,72,RU,1603130854,38.8,49.93,116.87,boa vista
419,4.32,97,93,RU,1603130854,24.73,66.32,-179.17,boa vista
420,5.55,75,79,GT,1603130854,87.8,14.51,-92.19,boa vista
421,14.25,100,41,CN,1603130854,49.19,39.23,106.34,boa vista
422,11.41,100,92,FI,1603130855,30.2,65.85,24.15,boa vista
423,4.7,40,74,MX,1603130855,87.8,16.86,-99.89,boa vista
424,4.05,96,85,ID,1603130768,77.56,4.14,96.13,boa vista
425,1.3,63,74,BT,1603130855,48.29,27.55,90.75,boa vista
426,5.82,75,66,SL,1603130855,86.0,8.77,-12.78,boa vista
427,8.95,62,75,BY,1603130770,41.0,53.9,27.57,boa vista
428,4.7,0,61,EG,1603130855,82.4,26.73,33.94,boa vista
429,9.35,75,87,GL,1603130701,38.8,60.14,-45.24,boa vista
430,36.82,97,73,PT,1603130856,64.04,39.05,-27.98,boa vista
431,12.39,35,72,JP,1603130856,65.55,31.42,130.32,boa vista
432,3.76,0,84,CN,1603130856,45.0,41.26,125.37,boa vista
433,10.29,75,52,CU,1603130856,87.8,21.11,-76.13,boa vista
434,4.21,2,55,ET,1603130613,59.27,9.31,42.13,boa vista
435,6.02,9,76,AO,1603130856,75.25,-12.58,13.41,boa vista
436,5.17,84,69,SE,1603130857,39.2,58.51,13.16,boa vista
437,2.24,0,58,YE,1603130736,84.51,12.78,45.04,boa vista
438,4.7,1,73,US,1603130742,78.01,20.89,-156.47,boa vista
439,4.7,90,57,US,1603130857,51.8,35.41,-99.4,boa vista
440,3.0,56,30,ES,1603130857,73.0,37.47,-4.44,boa vista
